Sl.NO.,PLAYER NAME,AGE,COUNTRY,TEAM,PLAYING ROLE,T-RUNS,T-WKTS,ODI-RUNS-S,ODI-SR-B,ODI-WKTS,ODI-SR-BL,CAPTAINCY EXP,RUNS-S,HS,AVE,SR-B,SIXERS,RUNS-C,WKTS,AVE-BL,ECON,SR-BL,AUCTION YEAR,BASE PRICE,SOLD PRICE,performance,price_tier,expected_performance,value_residual,z
1,"Abdulla, YA",2,SA,KXIP,Allrounder,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,307,15,20.47,8.9,13.93,2009,50000,50000,-1.5198981111119991,low (<=$100k),-1.280597866763248,-0.23930024434875108,-0.22249873601740033
3,"Agarkar, AB",2,IND,KKR,Bowler,571,58,1269,80.62,288,32.9,0,167,39,18.56,121.01,5,1059,29,36.52,8.81,24.9,2008,200000,350000,-0.9633923651276795,mid ($100k-$200k),-0.03320007938152614,-0.9301922857461533,-0.8648825595431641
4,"Ashwin, R",1,IND,CSK,Bowler,284,31,241,84.56,51,36.8,0,58,11,5.8,76.32,0,1125,49,22.96,6.23,22.14,2011,100000,850000,1.2371079542798498,low (<=$100k),0.5355929055968343,0.7015150486830155,0.6522609788967662
5,"Badrinath, S",2,IND,CSK,Batsman,63,0,79,45.93,0,0.0,0,1317,71,32.93,120.71,28,0,0,0.0,0.0,0.0,2011,100000,800000,1.3048106054250868,low (<=$100k),0.4967303614288081,0.8080802439962786,0.7513441257827033
6,"Bailey, GJ",2,AUS,CSK,Batsman,0,0,172,72.26,0,0.0,1,63,48,21.0,95.45,0,0,0,0.0,0.0,0.0,2009,50000,50000,-0.7334636514253479,low (<=$100k),-1.280597866763248,0.5471342153379002,0.508719377516117
7,"Balaji, L",2,IND,CSK+,Bowler,51,27,120,78.94,34,42.5,0,26,15,4.33,72.22,1,1342,52,25.81,7.98,19.4,2011,100000,500000,-0.07623276463301754,low (<=$100k),0.19544127700364378,-0.2716740416366613,-0.25259953677607294
8,"Bollinger, DE",2,AUS,CSK,Bowler,54,50,50,92.59,62,31.3,0,21,16,21.0,165.88,1,693,37,18.73,7.22,15.57,2011,200000,700000,-0.11886473140288112,mid ($100k-$200k),0.41113197766648746,-0.5299967090693686,-0.4927851126196749
9,"Botha, J",2,SA,RR,Allrounder,83,17,609,85.77,72,53.0,1,335,67,30.45,114.73,3,610,19,32.11,6.85,28.11,2011,200000,950000,-0.28924251105586757,mid ($100k-$200k),0.6068925034759953,-0.896135014531863,-0.8332164832380448
10,"Boucher, MV",2,SA,RCB+,W. Keeper,5515,1,4686,84.76,0,0.0,1,394,50,28.14,127.51,13,0,0,0.0,0.0,0.0,2008,200000,450000,-0.1954502710286223,mid ($100k-$200k),0.12790142981554276,-0.3233517008441651,-0.30064885609582287
11,"Bravo, DJ",2,WI,MI+,Allrounder,2200,86,2004,81.39,142,34.1,0,839,70,27.97,127.12,38,1338,47,28.47,8.12,21.11,2011,200000,200000,0.9812223359014469,mid ($100k-$200k),-0.39193375266721997,1.3731560885686669,1.2767454328874486
12,"Chanderpaul, S",3,WI,RCB,Batsman,9918,9,8778,70.74,14,52.8,1,25,16,8.33,80.64,0,0,0,0.0,0.0,0.0,2008,200000,200000,-0.7952295379965731,mid ($100k-$200k),-0.39193375266721997,-0.4032957853293532,-0.3749799868409264
13,"Chawla, PP",1,IND,KXIP,Allrounder,5,3,38,65.51,32,41.0,0,337,24,13.48,113.09,9,1819,73,126.3,38.11,100.2,2008,125000,400000,-1.2332929842911677,mid ($100k-$200k),0.052398304380794514,-1.2856912886719623,-1.1954216236452513
14,"de Villiers, AB",2,SA,DD+,W. Keeper,5457,2,4998,93.19,0,0.0,1,1302,105,34.26,128.53,42,0,0,0.0,0.0,0.0,2008,200000,300000,1.2804293344101294,mid ($100k-$200k),-0.13201616142583816,1.4124454958359676,1.3132762917657492
15,"Dhawan, S",2,IND,MI+,Batsman,0,0,69,56.09,0,0.0,0,1540,95,31.43,122.32,36,66,4,16.5,8.25,12.0,2011,100000,300000,0.8328804258886022,low (<=$100k),-0.13201616142583816,0.9648965873144404,0.8971502375571273
